VIEWPOINT_ID,COUNTLINE_ID,NAME,LATITUDE_START_LINE,LONGITUDE_START_LINE,LATITUDE_END_LINE,LONGITUDE_END_LINE,DIRECTION_IN,DIRECTION_OUT,EARLIEST,LATEST
10343,56655,Ghuznee St road top,-41.293259,174.775818,-41.29332,174.775787,W,E,2025-09-01,2026-08-05
10343,56656,Ghuznee St road bottom,-41.293221,174.775696,-41.293282,174.77565,NW,SE,2025-09-01,2026-08-05
7497,56909,The Parade road,-41.33392,174.773529,-41.33392,174.773438,N,S,2025-09-17,2026-08-05
7497,56910,The Parade cycle Lane LHS,-41.333889,174.77356,-41.333889,174.773544,N,S,2025-09-17,2026-08-05
7497,56911,The Parade crossing,-41.33387,174.773438,-41.333832,174.773438,E,W,2025-09-17,2026-08-05
7498,56912,The Parade path RHS,-41.33392,174.773407,-41.333912,174.773361,N,S,2025-09-29,2026-08-05
7498,56913,The Parade cycle Lane RHS,-41.33392,174.773438,-41.33392,174.773407,N,S,2025-09-29,2026-08-05
9037,57228,Aro St path LHS,-41.295319,174.767868,-41.295349,174.767853,W,E,2025-10-17,2026-08-05
9037,57229,Aro St road LHS,-41.295361,174.767914,-41.295399,174.767899,W,E,2025-10-17,2026-08-05
9037,57230,Aro St road RHS,-41.295399,174.767883,-41.295441,174.767883,W,E,2025-10-17,2026-08-05
9037,57231,Aro St path RHS,-41.295448,174.767944,-41.295479,174.767929,W,E,2025-10-17,2026-08-05
9038,57729,Aro St park LHS,-41.29533,174.768005,-41.295349,174.768021,SW,NE,2025-11-20,2026-08-05
11883,57985,Bunny St road,-41.27956,174.779358,-41.27972,174.779236,NW,SE,2025-12-05,2026-08-05
11883,57988,Featherston St road,-41.279739,174.779175,-41.279701,174.779083,NE,SW,2025-12-05,2026-08-05
11884,57989,Thorndon Quay road,-41.27924,174.779297,-41.279301,174.77948,SW,NE,2025-12-05,2026-08-05
11885,57990,Bunny St road north,-41.279461,174.779083,-41.279518,174.779053,W,E,2025-12-05,2026-08-05
11885,57991,Bunny St crossing,-41.279518,174.779037,-41.279469,174.779007,NE,SW,2025-12-05,2026-08-05
11885,57992,Featherston St road,-41.279629,174.778976,-41.279678,174.779037,SW,NE,2025-12-05,2026-08-05
11885,57993,S108 Featherston St crossing,-41.27951,174.778839,-41.279518,174.778824,NW,SE,2025-12-05,2025-12-16
11881,57994,Dixon St road,-41.291309,174.775085,-41.291241,174.775131,SE,NW,2025-12-05,2026-08-05
11881,57995,Dixon St crossing,-41.29126,174.77507,-41.291271,174.775101,SW,NE,2025-12-05,2026-08-05
11881,57996,Victoria St crossing,-41.29134,174.77507,-41.291321,174.775085,SE,NW,2025-12-05,2026-08-05
